Animal_n	clone_ID	time_of_electroporation_	time_of_analysis	clone_type	clone_subtype	M-L_dispersion_(µm)	clone_size	number_of_BG	number_of_GLA	number_of_WMA	number_of_CNA	number_of_VZA	localization
3	nSnCnGnKnYnR_(C_G_K_Y)	E12	P30	HomC	BG	50	1	1	0	0	0	0	CrusI
3	nSnCnGnKnYnR_(C_K_Y_R_low)	E12	P30	HetC	BG_GLA	100	9	8	1	0	0	0	Cp
3	nSnCnGnKnYnR_(R_low)	E12	P30	HomC	BG	50	3	3	0	0	0	0	Cp
3	nSnCnGnKnYnR_(K_Y_R_low)	E12	P30	HomC	WMA	50	2	0	0	2	0	0	Deep_WM
3	nSnCnGnKnYnR_(S_e_C_low)	E12	P30	HomC	WMA	50	2	0	0	2	0	0	Deep_WM
3	nSnG	E12	P30	HetC	BG_GLA_WMA_CNA	950	37	13	12	8	4	0	CrusII,_Cp,_Cerebellar_Nuclei
3	nSnG_(G_low)	E12	P30	HetC	BG_GLA_WMA	1050	34	18	11	5	0	0	CrusI,_Cp,_VIII
3	nSnCnR	E12	P30	HomC	GLA	50	1	0	1	0	0	0	VIII/IX
3	nSnG_(all_low)	E12	P30	HetC	BG_GLA_WMA	1800	67	43	11	13	0	0	CrusI,_Cp,_VIII
3	nSnGcKcY_(K_e_Y_low)	E12	P30	HomC	WMA	50	1	0	0	1	0	0	VIII/IX
3	nSnGnKnY(K_e_Y_low)	E12	P30	HomC	WMA	50	2	0	0	2	0	0	CrusI
3	nSnGnKnYnR_(G_K_Y_low)	E12	P30	HomC	WMA	50	1	0	0	1	0	0	Deep_WM
3	nSnGnKnYnR_(G_K_Y_R_low)	E12	P30	HomC	WMA	150	4	0	0	4	0	0	VIII/IX
3	nSnGnR_(nG_low)	E12	P30	HomC	GLA	50	2	0	2	0	0	0	CrusI
3	nSnGnY_(nY_low)	E12	P30	HetC	BG_GLA	100	3	2	1	0	0	0	Cp
3	nSnR	E12	P30	HomC	WMA	50	1	0	0	1	0	0	VIII/IX
